Player,Tm,Age,Att_rush,Tgt,TD_rush,TD_rec,Team_Yds,Team_Tgt,VBD,PPR,Year
Devonta Freeman,ATL,23,265,97,11,3,6208,571,123,316.4,2015
Adrian Peterson,MIN,30,327,36,11,0,5351,421,110,260.7,2015
Doug Martin,TB,26,288,44,6,1,6204,525,79,232.3,2015
DeAngelo Williams,PIT,32,200,47,11,0,6546,583,71,231.4,2015
Todd Gurley,STL,21,229,26,10,0,4843,465,67,208.4,2015
Lamar Miller,MIA,24,194,57,8,2,5605,574,64,231.9,2015
David Johnson,ARI,24,125,57,8,4,6692,549,59,215.8,2015
Chris Ivory,NYJ,27,247,37,7,1,6038,601,52,202.7,2015
Matt Forte,CHI,30,218,58,4,3,5505,516,50,214.7,2015
Latavius Murray,OAK,25,266,53,6,0,5589,567,43,204.8,2015
Frank Gore,IND,32,260,58,6,1,5307,596,39,193.4,2015
Darren McFadden,DAL,28,239,53,3,0,3253,507,35,195.7,2015
Jeremy Hill,CIN,23,223,19,11,1,5909,490,35,170.3,2015
Mark Ingram,NO,26,166,60,6,0,6675,628,33,203.4,2015
Jonathan Stewart,CAR,28,242,21,6,1,6156,495,26,162.8,2015
LeSean McCoy,BUF,27,203,50,3,2,5988,397,26,178.7,2015
DeMarco Murray,PHI,27,193,55,6,1,6084,620,20,184.4,2015
Ronnie Hillman,DEN,24,207,35,7,0,5934,575,17,161.4,2015
Rashad Jennings,NYG,30,195,40,3,1,6109,614,15,164.9,2015
Giovani Bernard,CIN,24,154,66,2,0,5909,490,12,181.2,2015
Charles Sims,TB,25,107,70,0,4,6204,525,8,180.0,2015
Jeremy Langford,CHI,24,148,42,6,1,5505,516,5,147.6,2015
James Starks,GB,29,148,53,2,3,5667,565,3,166.3,2015
Eddie Lacy,GB,25,187,28,3,2,5667,565,0,140.6,2015
T.J. Yeldon,JAX,22,182,46,2,1,5847,597,0,155.9,2015
Isaiah Crowell,CLE,22,185,22,4,1,5605,590,0,137.8,2015
Thomas Rawls,SEA,22,147,11,4,1,6082,452,0,127.6,2015
LeGarrette Blount,NE,29,165,7,6,1,6216,623,0,122.6,2015
C.J. Anderson,DEN,24,152,36,5,0,5934,575,0,141.3,2015
Charcandrick West,KC,24,160,34,4,1,5533,463,0,132.8,2015
Karlos Williams,BUF,22,93,14,7,2,5988,397,0,124.3,2015
Darren Sproles,PHI,32,83,83,3,1,6084,620,0,161.5,2015
Ryan Mathews,PHI,28,106,28,6,1,6084,620,0,124.5,2015
Duke Johnson,CLE,22,104,74,0,2,5605,590,0,164.3,2015
Javorius Allen,BAL,24,137,62,1,2,4591,580,0,145.7,2015
Chris Johnson,ARI,30,196,13,3,0,6692,549,0,107.2,2015
Shane Vereen,NYG,26,61,81,0,4,6109,614,0,158.4,2015
Theo Riddick,DET,24,43,99,0,3,5764,622,0,179.0,2015
Alfred Blue,HOU,24,183,16,2,1,4694,612,0,111.7,2015
Matt Jones,WAS,22,144,25,3,1,5808,544,0,114.4,2015
Ameer Abdullah,DET,22,143,38,2,1,5764,622,0,117.0,2015
Antonio Andrews,TEN,23,143,29,3,0,5327,537,0,112.0,2015
Justin Forsett,BAL,30,151,41,2,0,4591,580,0,122.4,2015
Bilal Powell,NYJ,27,70,63,1,2,6038,601,0,135.1,2015
Le'Veon Bell,PIT,23,113,26,3,0,6546,583,0,111.2,2015
Alfred Morris,WAS,27,202,13,1,0,5808,544,0,96.6,2015
Joique Bell,DET,29,90,27,4,0,5764,622,0,105.7,2015
Dion Lewis,NE,25,49,50,2,2,6216,623,0,120.2,2015
James White,NE,23,22,54,2,4,6216,623,0,122.6,2015
Jamaal Charles,KC,29,71,29,4,1,5533,463,0,101.1,2015
Spencer Ware,KC,24,72,6,6,0,5533,463,0,82.8,2015
Melvin Gordon,SDG,22,184,37,0,0,6213,657,0,108.3,2015
Tim Hightower,NO,29,96,13,4,0,6675,628,0,86.4,2015
Carlos Hyde,SF,25,115,15,3,0,4759,439,0,81.3,2015
Marshawn Lynch,SEA,29,111,21,3,0,6082,452,0,82.7,2015
Mike Tolbert,CAR,30,62,23,1,3,6156,495,0,83.0,2015
Joseph Randle,DAL,24,76,10,4,0,3253,507,0,74.1,2015
Jerick McKinnon,MIN,23,52,29,2,1,5351,421,0,83.4,2015
Andre Ellington,ARI,26,45,24,3,0,6692,549,0,74.7,2015
Jonathan Grimes,HOU,26,56,31,1,1,4694,612,0,85.5,2015
Chris Thompson,WAS,25,35,48,0,2,5808,544,0,92.6,2015
Kyle Juszczyk,BAL,24,2,56,0,4,4591,580,0,97.4,2015
Chris Polk,HOU,26,99,28,1,1,4694,612,0,72.3,2015
Arian Foster,HOU,29,63,28,1,2,4694,612,0,77.0,2015
Khiry Robinson,NO,26,56,20,4,0,6675,628,0,70.5,2015
Brandon Bolden,NE,25,63,30,0,2,6216,623,0,69.7,2015
Shaun Draughn,2TM,28,78,35,1,0,4709,249,0,77.9,2015
Marcel Reece,OAK,30,10,37,0,3,5589,567,0,78.5,2015
Denard Robinson,JAX,25,67,30,1,0,5847,597,0,68.0,2015
C.J. Spiller,NO,28,36,44,0,2,6675,628,0,81.1,2015
Mike Gillislee,BUF,25,47,7,3,0,5988,397,0,51.6,2015
Fred Jackson,SEA,34,26,41,0,2,6082,452,0,77.7,2015
Bishop Sankey,TEN,23,47,22,1,1,5327,537,0,57.2,2015
Tevin Coleman,ATL,22,87,11,1,0,6208,571,0,42.6,2015
Benny Cunningham,STL,25,37,36,0,0,4843,465,0,65.0,2015
Donald Brown,SDG,28,59,13,1,0,6213,657,0,45.7,2015
Jay Ajayi,MIA,22,49,11,1,0,5605,574,0,42.7,2015
Ka'Deem Carey,CHI,23,43,3,2,1,5505,516,0,36.8,2015
Tre Mason,STL,22,75,25,1,0,4843,465,0,51.5,2015
Andre Williams,NYG,23,88,3,1,0,6109,614,0,35.4,2015
Ahmad Bradshaw,IND,29,31,14,0,3,5307,596,0,42.9,2015
Cameron Artis-Payne,CAR,25,45,5,1,0,6156,495,0,35.1,2015
Zach Line,MIN,25,6,9,2,1,5351,421,0,34.5,2015
Travaris Cadet,3TM,26,11,22,0,1,28,68,0,45.2,2015
Lance Dunbar,DAL,25,5,23,0,0,3253,507,0,49.2,2015
Robert Turbin,2TM,26,50,10,1,0,4709,249,0,35.2,2015
DuJuan Harris,2TM,27,48,14,0,0,4709,249,0,35.6,2015
Ty Montgomery,GB,22,3,19,0,2,5667,565,0,42.0,2015
Christine Michael,2TM,25,54,6,0,0,4709,249,0,28.9,2015
Jonas Gray,2TM,25,45,8,0,0,4709,249,0,32.2,2015
Jamize Olawale,OAK,26,24,11,1,0,5589,567,0,34.4,2015
Orleans Darkwa,NYG,23,36,5,1,0,6109,614,0,27.4,2015
Damien Williams,MIA,23,16,28,0,1,5605,574,0,45.1,2015
Patrick DiMarco,ATL,26,1,17,0,2,6208,571,0,36.0,2015
Terron Ward,ATL,23,29,13,1,0,6208,571,0,31.8,2015
Fozzy Whittaker,CAR,26,25,15,1,0,6156,495,0,35.2,2015
Taiwan Jones,OAK,27,16,9,0,1,5589,567,0,29.0,2015
Branden Oliver,SDG,24,31,15,0,0,6213,657,0,35.0,2015
Bruce Miller,SF,28,6,14,1,0,4759,439,0,30.9,2015
Zac Stacy,NYJ,24,31,12,1,0,6038,601,0,30.4,2015
Terrance West,2TM,24,62,5,0,0,4709,249,0,25.2,2015
David Cobb,TEN,22,52,2,1,0,5327,537,0,21.4,2015
John Kuhn,GB,33,9,10,2,0,5667,565,0,26.4,2015
Kerwynn Williams,ARI,24,27,2,1,0,6692,549,0,21.8,2015
Rhett Ellison,MIN,27,0,19,0,1,5351,421,0,29.4,2015
Jalston Fowler,TEN,25,7,6,1,1,5327,537,0,22.7,2015
Roy Helu,OAK,27,17,16,0,1,5589,567,0,26.4,2015
Knile Davis,KC,24,28,3,1,0,5533,463,0,17.6,2015
Anthony Dixon,BUF,28,21,7,1,0,5988,397,0,20.8,2015
Pierre Thomas,2TM,31,15,11,0,0,4709,249,0,23.8,2015
Rex Burkhead,CIN,25,4,15,0,1,5909,490,0,23.8,2015
Akeem Hunt,HOU,22,17,10,0,0,4694,612,0,19.5,2015
Lorenzo Taliaferro,BAL,24,13,5,1,0,4591,580,0,18.6,2015
Kenjon Barner,PHI,26,28,12,0,0,6084,620,0,21.6,2015
Bryce Brown,SEA,24,25,2,1,0,6082,452,0,13.2,2015
Dan Herron,2TM,26,25,10,0,0,4709,249,0,21.6,2015
Steven Jackson,NE,32,21,1,1,0,6216,623,0,14.0,2015
Kendall Gaskins,SF,25,16,10,0,0,4759,439,0,18.7,2015
Mike Davis,SF,22,35,13,0,0,4759,439,0,16.6,2015
Will Johnson,PIT,26,4,4,1,0,6546,583,0,12.3,2015
Juwan Thompson,DEN,23,18,9,0,0,5934,575,0,15.9,2015
Garrett Graham,HOU,29,0,19,0,1,4694,612,0,13.0,2015
Stevan Ridley,NYJ,26,36,5,0,0,6038,601,0,12.8,2015
Zurlon Tipton,IND,25,5,8,0,0,5307,596,0,12.7,2015
Toby Gerhart,JAX,28,20,5,0,0,5847,597,0,9.7,2015
Zach Zenner,DET,24,17,3,0,0,5764,622,0,9.1,2015
Tommy Bohanon,NYJ,25,2,8,0,0,6038,601,0,9.8,2015
Jarryd Hayne,SF,27,17,7,0,0,4759,439,0,11.9,2015
Stepfan Taylor,ARI,24,17,3,0,0,6692,549,0,7.2,2015
Fitzgerald Toussaint,PIT,25,18,0,0,0,6546,583,0,6.2,2015
Reggie Bush,SF,30,8,10,0,0,4759,439,0,8.7,2015
Joey Iosefa,NE,24,15,0,0,0,6216,623,0,5.1,2015
Josh Robinson,IND,23,17,6,0,0,5307,596,0,11.2,2015
Jacquizz Rodgers,CHI,25,14,3,0,0,5505,516,0,6.1,2015
Marcus Murphy,NO,24,1,0,0,0,6675,628,0,4.0,2015
Nick O'Leary,BUF,23,0,3,0,0,5988,397,0,4.7,2015
Derrick Coleman,SEA,25,8,1,0,0,6082,452,0,4.2,2015
Cory Harkey,STL,25,0,6,0,0,4843,465,0,7.6,2015
Jay Prosch,HOU,23,6,1,0,0,4694,612,0,3.3,2015
Anthony Sherman,KC,27,1,5,0,0,5533,463,0,7.4,2015
Darrel Young,WAS,28,6,6,0,0,5808,544,0,9.2,2015
Malcolm Brown,STL,22,4,1,0,0,4843,465,0,2.5,2015
John Crockett,GB,23,9,0,0,0,5667,565,0,2.1,2015
Alonzo Harris,GB,23,4,1,0,0,5667,565,0,1.9,2015
Malcolm Johnson,CLE,23,0,6,0,0,5605,590,0,5.5,2015
Roosevelt Nix,PIT,23,0,3,0,0,6546,583,0,3.6,2015
Bernard Pierce,JAX,24,6,5,0,0,5847,597,0,4.8,2015
Aaron Ripkowski,GB,23,0,1,0,0,5667,565,0,2.8,2015
Jordan Todman,PIT,25,4,2,0,0,6546,583,0,2.2,2015
Tyler Varga,IND,22,1,2,0,0,5307,596,0,3.0,2015
Jerome Felton,BUF,29,1,2,0,0,5988,397,0,2.4,2015
Terrence Magee,BAL,22,2,1,0,0,4591,580,0,1.7,2015
Bobby Rainey,TB,28,5,3,0,0,6204,525,0,4.4,2015
Antone Smith,CHI,30,1,0,0,0,5505,516,0,1.1,2015
Rod Smith,2TM,23,2,2,0,0,4709,249,0,2.1,2015
Trey Williams,IND,23,2,0,0,0,5307,596,0,1.2,2015
Tyler Clutts,DAL,31,0,1,0,0,3253,507,0,1.4,2015
Kendall Hunter,NO,27,1,0,0,0,6675,628,0,0.2,2015
George Winn,DET,25,4,0,0,0,5764,622,0,0.1,2015
Cierre Wood,BUF,24,2,1,0,0,5988,397,0,0.7,2015
Corey Grant,JAX,24,6,3,0,0,5847,597,0,1.5,2015
Isaiah Pead,STL,26,2,0,0,0,4843,465,0,-1.7,2015
Glenn Winston,CLE,26,1,0,0,0,5605,590,0,-2.8,2015
David Johnson,ARI,25,293,120,16,4,6157,562,191,407.8,2016
Ezekiel Elliott,DAL,21,322,39,15,1,6160,475,156,325.4,2016
LeSean McCoy,BUF,28,234,57,13,1,5864,436,111,298.3,2016
Le'Veon Bell,PIT,24,261,94,7,2,6140,590,105,317.4,2016
DeMarco Murray,TEN,28,293,67,9,3,5909,486,104,293.8,2016
Devonta Freeman,ATL,24,227,65,11,2,6888,498,93,284.1,2016
LeGarrette Blount,NE,30,299,8,18,0,6328,540,89,232.9,2016
Melvin Gordon,SDG,23,254,57,10,2,5815,556,73,250.6,2016
Jordan Howard,CHI,22,252,50,6,1,5866,529,64,230.1,2016
Mark Ingram,NO,27,205,58,6,4,7000,657,59,242.2,2016
Jay Ajayi,MIA,23,260,35,8,0,5540,467,51,215.3,2016
Frank Gore,IND,33,263,47,4,4,5865,572,39,214.2,2016
Latavius Murray,OAK,26,195,43,12,0,6032,563,38,208.2,2016
Isaiah Crowell,CLE,23,198,53,7,0,5405,558,28,205.1,2016
Carlos Hyde,SF,26,217,33,6,3,5179,487,28,192.1,2016
Spencer Ware,KC,25,214,42,3,2,5636,531,24,193.8,2016
Lamar Miller,HOU,25,268,39,5,1,5277,577,23,191.1,2016
Tevin Coleman,ATL,23,118,40,8,3,6888,498,23,191.1,2016
Jeremy Hill,CIN,24,222,27,9,0,5975,541,18,176.3,2016
Todd Gurley,LAR,22,278,58,6,0,4561,529,18,198.2,2016
Matt Forte,NYJ,31,218,43,7,1,5437,525,17,183.6,2016
Bilal Powell,NYJ,28,131,74,3,2,5437,525,2,197.0,2016
Jonathan Stewart,CAR,29,218,21,9,0,5776,552,1,146.4,2016
Terrance West,BAL,25,193,45,5,1,5711,650,0,171.0,2016
Ryan Mathews,PHI,29,155,14,8,1,5601,587,0,144.6,2016
Robert Kelley,WAS,24,168,18,6,1,6613,592,0,132.6,2016
Mike Gillislee,BUF,26,101,11,8,1,5864,436,0,125.7,2016
Christine Michael,2TM,26,148,29,7,1,831,270,0,137.0,2016
Devontae Booker,DEN,24,174,45,4,1,5221,518,0,142.7,2016
Darren Sproles,PHI,33,94,71,2,2,5601,587,0,162.5,2016
Theo Riddick,DET,25,92,67,1,5,5599,574,0,161.8,2016
Tim Hightower,NO,30,133,26,4,1,7000,657,0,126.8,2016
Jerick McKinnon,MIN,24,159,53,2,2,4872,539,0,148.4,2016
Rashad Jennings,NYG,31,181,42,3,1,5439,597,0,138.4,2016
James White,NE,24,39,86,0,5,6328,540,0,161.7,2016
Chris Thompson,WAS,26,68,62,3,2,6613,592,0,147.5,2016
Ty Montgomery,GB,23,77,56,3,0,6027,609,0,140.5,2016
Derrick Henry,TEN,22,110,15,5,0,5909,486,0,105.7,2016
Duke Johnson,CLE,23,73,74,1,0,5405,558,0,144.2,2016
T.J. Yeldon,JAX,23,130,68,1,1,5556,623,0,137.7,2016
C.J. Anderson,DEN,25,110,24,4,1,5221,518,0,102.5,2016
Jalen Richard,OAK,23,83,39,1,2,6032,563,0,115.5,2016
Giovani Bernard,CIN,25,91,51,2,1,5975,541,0,122.3,2016
Robert Turbin,IND,27,47,35,7,1,5865,572,0,108.3,2016
DeAngelo Williams,PIT,33,98,27,4,2,6140,590,0,100.1,2016
Shaun Draughn,SF,29,74,39,4,2,5179,487,0,108.9,2016
Jacquizz Rodgers,TB,26,129,16,2,0,5776,562,0,90.8,2016
Chris Ivory,JAX,28,117,28,3,0,5556,623,0,94.5,2016
Zach Zenner,DET,25,88,23,4,0,5599,574,0,93.0,2016
Kenneth Dixon,BAL,22,88,41,2,1,5711,650,0,102.4,2016
Doug Martin,TB,27,144,16,3,0,5776,562,0,85.5,2016
Damien Williams,MIA,24,35,32,3,3,5540,467,0,93.4,2016
DeAndre Washington,OAK,23,87,23,2,0,6032,563,0,85.2,2016
Matt Jones,WAS,23,99,8,3,0,6613,592,0,75.3,2016
Charcandrick West,KC,25,88,34,1,2,5636,531,0,94.1,2016
Thomas Rawls,SEA,23,109,17,3,0,5464,510,0,75.5,2016
Paul Perkins,NYG,22,112,24,0,0,5439,597,0,76.8,2016
Rex Burkhead,CIN,26,74,20,2,0,5975,541,0,75.9,2016
Travaris Cadet,NO,27,4,54,0,4,7000,657,0,94.0,2016
Jeremy Langford,CHI,25,62,27,4,0,5866,529,0,73.2,2016
Alfred Blue,HOU,25,100,16,1,0,5277,577,0,62.0,2016
Wendell Smallwood,PHI,22,77,13,1,0,5601,587,0,52.7,2016
Fozzy Whittaker,CAR,27,57,33,0,0,5776,552,0,72.1,2016
Jamize Olawale,OAK,27,17,14,2,1,6032,563,0,57.4,2016
C.J. Prosise,SEA,22,30,19,1,0,5464,510,0,61.0,2016
Charles Sims,TB,26,51,32,1,1,5776,562,0,67.9,2016
Justin Forsett,3TM,31,87,27,1,0,291,27,0,61.6,2016
Kenyan Drake,MIA,22,33,10,2,0,5540,467,0,49.5,2016
John Kuhn,NO,34,18,20,4,1,7000,657,0,56.7,2016
James Starks,GB,30,63,25,0,2,6027,609,0,58.9,2016
Eddie Lacy,GB,26,71,7,0,0,6027,609,0,42.8,2016
Dwayne Washington,DET,22,90,15,1,0,5599,574,0,48.7,2016
Dion Lewis,NE,26,64,24,0,0,6328,540,0,54.7,2016
Aaron Ripkowski,GB,24,34,10,2,1,6027,609,0,46.6,2016
Kyle Juszczyk,BAL,25,5,49,1,0,5711,650,0,73.8,2016
Alfred Morris,DAL,28,69,6,2,0,6160,475,0,40.4,2016
Corey Grant,JAX,25,32,7,1,1,5556,623,0,35.9,2016
Peyton Barber,TB,22,55,6,1,0,5776,562,0,36.1,2016
Kenjon Barner,PHI,27,27,11,2,0,5601,587,0,34.1,2016
Cameron Artis-Payne,CAR,26,36,1,2,0,5776,552,0,28.5,2016
Kerwynn Williams,ARI,25,18,2,2,0,6157,562,0,29.3,2016
DuJuan Harris,SF,28,38,9,0,1,5179,487,0,35.3,2016
Shane Vereen,NYG,27,33,19,1,0,5439,597,0,38.2,2016
Kapri Bibbs,DEN,23,29,4,0,1,5221,518,0,28.4,2016
Alex Collins,SEA,22,31,11,1,0,5464,510,0,35.9,2016
Mike Tolbert,CAR,31,35,15,0,1,5776,552,0,34.6,2016
Orleans Darkwa,NYG,24,30,4,2,0,5439,597,0,26.3,2016
Kenneth Farrow,SDG,23,60,16,0,0,5815,556,0,37.2,2016
Ameer Abdullah,DET,23,18,5,0,1,5599,574,0,26.8,2016
Ronnie Hillman,2TM,25,41,15,0,0,831,270,0,29.4,2016
Lance Dunbar,DAL,26,9,24,1,0,6160,475,0,37.3,2016
Jonathan Grimes,HOU,27,23,18,0,0,5277,577,0,32.9,2016
Bobby Rainey,NYG,29,17,25,0,0,5439,597,0,39.6,2016
Benny Cunningham,LAR,26,21,21,0,0,4561,529,0,35.2,2016
Ka'Deem Carey,CHI,24,32,7,0,0,5866,529,0,23.1,2016
Andre Ellington,ARI,27,34,19,0,0,6157,562,0,30.1,2016
Reggie Bush,BUF,31,12,10,1,0,5864,436,0,23.7,2016
Denard Robinson,JAX,26,41,5,0,0,5556,623,0,19.6,2016
Josh Ferguson,IND,23,15,26,0,0,5865,572,0,35.6,2016
Chris Johnson,ARI,31,25,1,1,0,6157,562,0,15.5,2016
Terron Ward,ATL,24,31,2,0,0,6888,498,0,17.2,2016
Mack Brown,WAS,25,8,1,1,0,6613,592,0,15.0,2016
Akeem Hunt,HOU,23,20,4,0,0,5277,577,0,16.8,2016
Andy Janovich,DEN,23,4,7,1,0,5221,518,0,18.7,2016
Arian Foster,MIA,30,22,10,0,0,5540,467,0,19.3,2016
Nick O'Leary,BUF,24,0,14,0,0,5864,436,0,22.4,2016
C.J. Spiller,2TM,29,6,13,0,1,831,270,0,18.8,2016
Mike Davis,SF,23,19,5,1,0,5179,487,0,14.5,2016
Rhett Ellison,MIN,28,1,14,1,0,4872,539,0,20.8,2016
Jordan Todman,IND,26,9,1,0,0,5865,572,0,11.9,2016
Jamaal Charles,KC,30,12,3,1,0,5636,531,0,13.4,2016
Patrick DiMarco,ATL,27,0,10,0,1,6888,498,0,18.2,2016
Jonathan Williams,BUF,22,27,2,1,0,5864,436,0,12.4,2016
Darren McFadden,DAL,29,24,5,0,0,6160,475,0,13.4,2016
Antone Smith,TB,31,10,9,0,0,5776,562,0,16.4,2016
George Atkinson,CLE,24,7,0,1,0,5405,558,0,9.4,2016
Marcel Reece,SEA,31,2,5,0,0,5464,510,0,14.3,2016
Juwan Thompson,DEN,24,8,1,1,0,5221,518,0,8.6,2016
Fitzgerald Toussaint,PIT,26,14,3,0,0,6140,590,0,12.1,2016
Terrell Watson,PHI,23,9,1,1,0,5601,587,0,10.3,2016
Derek Watt,SDG,24,2,4,0,0,5815,556,0,12.7,2016
Andre Williams,SDG,24,18,2,0,0,5815,556,0,8.7,2016
Malcolm Brown,LAR,23,18,3,0,0,4561,529,0,9.5,2016
Jerome Felton,BUF,30,8,9,0,0,5864,436,0,13.0,2016
Byron Marshall,PHI,22,19,5,0,0,5601,587,0,10.4,2016
Adrian Peterson,MIN,31,37,6,0,0,4872,539,0,9.0,2016
Javorius Allen,BAL,25,9,4,0,0,5711,650,0,7.9,2016
Knile Davis,2TM,25,18,7,0,0,831,270,0,10.3,2016
Troymaine Pope,2TM,23,12,2,0,0,831,270,0,5.9,2016
Brandon Wilds,NYJ,23,10,2,0,0,5437,525,0,6.7,2016
Mike James,TB,25,4,4,0,0,5776,562,0,8.1,2016
Taiwan Jones,OAK,28,1,4,0,0,6032,563,0,7.5,2016
Daniel Lasco,NO,24,11,4,0,0,7000,657,0,6.3,2016
D.J. Foster,NE,23,7,2,0,0,6328,540,0,3.6,2016
Don Jackson,GB,23,10,1,0,0,6027,609,0,3.2,2016
Malcolm Johnson,CLE,24,1,7,0,0,5405,558,0,7.6,2016
Isaiah Pead,MIA,27,8,1,0,0,5540,467,0,3.8,2016
Danny Vitale,CLE,23,0,5,0,0,5405,558,0,6.7,2016
Antonio Andrews,TEN,24,2,0,0,0,5909,486,0,1.5,2016
Brandon Bolden,NE,26,1,4,0,0,6328,540,0,3.9,2016
Jalston Fowler,TEN,26,1,2,0,0,5909,486,0,2.7,2016
Zach Line,MIN,26,7,3,0,0,4872,539,0,1.5,2016
Cedric Peerman,CIN,30,6,1,0,0,5975,541,0,1.5,2016
Jay Prosch,HOU,24,4,1,0,0,5277,577,0,2.5,2016
Joe Banyard,JAX,28,2,0,0,0,5556,623,0,0.7,2016
George Farmer,SEA,23,1,3,0,0,5464,510,0,1.5,2016
Bronson Hill,JAX,23,2,1,0,0,5556,623,0,1.1,2016
Paul Lasike,CHI,26,3,1,0,0,5866,529,0,2.1,2016
Terrence Magee,SEA,23,3,0,0,0,5464,510,0,1.2,2016
Raheem Mostert,2TM,24,1,0,0,0,831,270,0,0.6,2016
Roosevelt Nix,PIT,24,0,2,0,0,6140,590,0,2.5,2016
Daryl Richardson,PIT,26,2,0,0,0,6140,590,0,0.7,2016
Stevan Ridley,ATL,27,3,0,0,0,6888,498,0,0.7,2016
Anthony Sherman,KC,28,0,6,0,0,5636,531,0,5.1,2016
Lorenzo Taliaferro,BAL,25,1,3,0,0,5711,650,0,4.0,2016
Stepfan Taylor,ARI,25,4,0,0,0,6157,562,0,1.2,2016
Joique Bell,2TM,30,3,1,0,0,831,270,0,1.4,2016
