Player,Tm,Age,Att_rush,Tgt,TD_rush,TD_rec,Team_Yds,Team_Tgt,VBD,PPR,Year
Antonio Gibson,WAS,23,258,52,7,3,5807,534,39,229.1,2021
Leonard Fournette,TB,26,180,84,8,2,7037,712,38,255.6,2021
Cordarrelle Patterson,ATL,30,153,69,6,5,5334,551,34,234.6,2021
Aaron Jones,GB,27,171,65,4,6,6426,570,29,229.0,2021
Derrick Henry,TEN,27,219,20,10,0,6057,504,28,193.3,2021
Dalvin Cook,MIN,26,249,49,6,0,6350,573,25,206.3,2021
Josh Jacobs,LV,23,217,64,9,0,6415,579,24,226.0,2021
Melvin Gordon,DEN,28,203,38,8,2,5881,514,20,195.1,2021
Javonte Williams,DEN,21,203,53,4,3,5881,514,15,204.9,2021
Devin Singletary,BUF,24,188,50,7,1,6659,622,11,197.8,2021
David Montgomery,CHI,24,225,51,7,0,5620,509,7,195.0,2021
AJ Dillon,GB,23,187,37,5,2,6426,570,5,185.6,2021
Darrel Williams,KC,26,144,57,6,2,6876,636,3,196.0,2021
D'Andre Swift,DET,22,151,78,5,2,5704,520,1,208.9,2021
Elijah Mitchell,SF,23,207,20,5,1,6604,496,0,165.0,2021
James Robinson,JAX,23,164,46,8,0,5423,530,0,173.9,2021
Darrell Henderson,LAR,24,149,40,5,3,6569,539,0,163.4,2021
Myles Gaskin,MIA,24,173,63,3,4,5384,595,0,173.6,2021
Sony Michel,LAR,26,208,33,4,1,6569,539,0,146.3,2021
Tony Pollard,DAL,24,130,46,2,0,7082,636,0,162.6,2021
Michael Carter,NYJ,22,147,55,4,0,5270,580,0,154.4,2021
Rashaad Penny,SEA,25,119,8,6,0,5873,473,0,121.7,2021
Devonta Freeman,BAL,29,133,42,5,1,6344,588,0,146.6,2021
Chuba Hubbard,CAR,22,172,37,5,1,5188,506,0,137.6,2021
Saquon Barkley,NYG,24,162,57,2,2,5151,562,0,148.6,2021
Devontae Booker,NYG,29,145,45,2,1,5151,562,0,144.1,2021
Rhamondre Stevenson,NE,23,133,18,5,0,6249,524,0,114.9,2021
Chase Edmonds,ARI,25,116,53,2,0,6668,489,0,143.3,2021
Clyde Edwards-Helaire,KC,22,119,23,4,2,6876,636,0,117.6,2021
Mike Davis,ATL,28,138,58,3,1,5334,551,0,138.2,2021
Alexander Mattison,MIN,23,134,39,3,1,6350,573,0,125.9,2021
Latavius Murray,BAL,31,119,13,6,0,6344,588,0,103.6,2021
Jamaal Williams,DET,26,153,28,3,0,5704,520,0,119.8,2021
Christian McCaffrey,CAR,25,99,41,1,1,5188,506,0,127.5,2021
Miles Sanders,PHI,24,137,34,0,0,6300,436,0,117.2,2021
Kenneth Gainwell,PHI,22,68,50,5,1,6300,436,0,123.4,2021
Kareem Hunt,CLE,26,78,27,5,0,6076,465,0,110.0,2021
Boston Scott,PHI,26,87,16,7,0,6300,436,0,98.6,2021
D'Onta Foreman,TEN,25,133,11,3,0,6057,504,0,93.9,2021
D'Ernest Johnson,CLE,25,100,25,3,0,6076,465,0,104.1,2021
J.D. McKissic,WAS,28,48,53,2,2,5807,534,0,127.9,2021
Brandon Bolden,NE,31,44,49,1,2,6249,524,0,124.1,2021
Ty Johnson,NYJ,24,61,55,2,2,5270,580,0,117.0,2021
Mark Ingram,2TM,32,160,35,2,0,2203,508,0,108.6,2021
Zack Moss,BUF,24,96,32,4,1,6659,622,0,105.2,2021
Rex Burkhead,HOU,31,122,32,3,0,4529,475,0,104.3,2021
Kenyan Drake,LV,27,63,40,2,1,6415,579,0,102.5,2021
Nyheim Hines,IND,25,56,57,2,1,6128,501,0,112.6,2021
Ronald Jones II,TB,24,101,13,4,0,7037,712,0,79.2,2021
Khalil Herbert,CHI,23,103,16,2,0,5620,509,0,78.9,2021
Justin Jackson,LAC,25,68,25,2,0,6829,658,0,86.2,2021
Jordan Howard,PHI,27,86,5,3,0,6300,436,0,62.5,2021
Alex Collins,SEA,27,108,10,2,0,5873,473,0,68.8,2021
Samaje Perine,CIN,26,55,31,1,1,6548,540,0,83.2,2021
Duke Johnson,MIA,28,71,5,3,0,5384,595,0,59.1,2021
Dontrell Hilliard,TEN,26,56,26,2,0,6057,504,0,72.7,2021
Ameer Abdullah,2TM,28,51,53,0,1,2203,508,0,89.5,2021
David Johnson,HOU,30,67,42,0,1,4529,475,0,81.3,2021
Derrick Gore,KC,27,51,9,2,0,6876,636,0,56.1,2021
Travis Homer,SEA,23,21,20,1,0,5873,473,0,61.8,2021
Jeremy McNichols,TEN,26,41,38,0,1,6057,504,0,73.6,2021
Jaret Patterson,WAS,22,68,11,2,0,5807,534,0,55.9,2021
Damien Williams,CHI,29,40,23,2,1,5620,509,0,60.7,2021
Jeff Wilson,SF,26,79,8,2,0,6604,496,0,51.5,2021
Kyle Juszczyk,SF,30,8,38,1,1,6604,496,0,73.8,2021
Chris Carson,SEA,27,54,6,3,0,5873,473,0,48.1,2021
Tevin Coleman,NYJ,28,84,16,0,0,5270,580,0,51.5,2021
Phillip Lindsay,2TM,27,88,5,1,1,2203,508,0,45.4,2021
Peyton Barber,LV,27,55,13,2,0,6415,579,0,49.9,2021
DeeJay Dallas,SEA,23,33,23,2,0,5873,473,0,60.1,2021
Dare Ogunbowale,JAX,27,43,21,1,1,5423,530,0,50.1,2021
Giovani Bernard,TB,30,8,29,0,3,7037,712,0,59.1,2021
Matt Breida,BUF,26,26,9,1,2,6659,622,0,42.7,2021
Chris Evans,CIN,24,17,17,0,2,6548,540,0,49.8,2021
Carlos Hyde,JAX,31,72,21,1,0,5423,530,0,45.8,2021
Le'Veon Bell,2TM,29,39,7,2,1,2203,508,0,38.1,2021
Demetric Felton,CLE,23,7,21,0,2,6076,465,0,50.5,2021
Ke'Shawn Vaughn,TB,24,36,8,2,0,7037,712,0,36.6,2021
Ty'Son Williams,BAL,25,35,12,1,0,6344,588,0,41.9,2021
Craig Reynolds,DET,25,55,8,0,0,5704,520,0,35.2,2021
Salvon Ahmed,MIA,23,54,19,0,0,5384,595,0,38.6,2021
Jamycal Hasty,SF,25,16,29,1,0,6604,496,0,49.5,2021
Elijhaa Penny,NYG,28,24,13,1,1,5151,562,0,35.9,2021
Royce Freeman,2TM,25,56,16,0,0,2203,508,0,34.6,2021
Trey Sermon,SF,22,41,4,1,0,6604,496,0,28.3,2021
Corey Clement,DAL,27,33,7,0,1,7082,636,0,28.9,2021
Jerick McKinnon,KC,29,12,20,0,1,6876,636,0,35.9,2021
Adrian Peterson,2TM,36,38,4,2,0,2203,508,0,26.6,2021
Eno Benjamin,ARI,22,34,7,1,0,6668,489,0,28.0,2021
Jermar Jefferson,DET,21,15,5,2,0,5704,520,0,25.7,2021
Malcolm Brown,MIA,28,33,5,1,0,5384,595,0,22.5,2021
Godwin Igwebuike,DET,27,18,10,1,0,5704,520,0,26.8,2021
Kene Nwangwu,MIN,23,13,5,0,0,6350,573,0,23.0,2021
James White,NE,29,10,14,1,0,6249,524,0,31.2,2021
Tony Jones,NO,24,54,8,0,0,5150,446,0,22.1,2021
Austin Walter,NYJ,25,26,3,1,0,5270,580,0,19.0,2021
Jonathan Williams,WAS,27,17,6,1,0,5807,534,0,20.7,2021
C.J. Ham,MIN,28,7,18,0,0,6350,573,0,32.9,2021
Qadree Ollison,ATL,25,21,6,1,0,5334,551,0,19.7,2021
Alec Ingold,LV,25,2,12,0,1,6415,579,0,24.6,2021
Larry Rountree,LAC,22,36,2,1,0,6829,658,0,15.6,2021
J.J. Taylor,NE,23,19,4,2,0,6249,524,0,18.5,2021
Patrick Taylor,GB,23,23,2,1,0,6426,570,0,17.2,2021
Wayne Gallman,2TM,27,28,3,0,0,2203,508,0,13.5,2021
Patrick Ricard,BAL,27,2,13,0,1,6344,588,0,20.7,2021
Michael Burton,KC,29,8,3,1,0,6876,636,0,14.7,2021
Joshua Kelley,LAC,24,33,6,0,0,6829,658,0,17.0,2021
Marlon Mack,IND,25,28,5,0,0,6128,501,0,12.9,2021
Jalen Richard,LV,28,9,14,0,0,6415,579,0,23.2,2021
Benny Snell Jr.,PIT,23,36,4,0,0,5600,652,0,13.1,2021
Ryquell Armstead,JAX,25,15,4,0,0,5423,530,0,12.6,2021
Jason Cabinda,DET,25,3,7,0,1,5704,520,0,13.9,2021
JaQuan Hardy,DAL,24,4,0,1,0,7082,636,0,8.9,2021
Deon Jackson,IND,22,13,0,1,0,6128,501,0,9.1,2021
Andy Janovich,CLE,28,2,4,1,0,6076,465,0,11.9,2021
Keith Smith,ATL,29,9,10,0,0,5334,551,0,17.7,2021
Alex Armah,2TM,27,5,1,0,1,2203,508,0,9.2,2021
Johnny Stanton,CLE,27,3,2,0,1,6076,465,0,9.2,2021
Jonathan Ward,ARI,24,9,4,0,0,6668,489,0,9.7,2021
Mike Boone,DEN,26,4,2,0,0,5881,514,0,7.7,2021
Ito Smith,DAL,26,1,0,1,0,7082,636,0,6.4,2021
Trayveon Williams,CIN,24,15,2,0,0,6548,540,0,6.5,2021
Jason Huntley,PHI,23,13,1,0,0,6300,436,0,5.1,2021
Wendell Smallwood,WAS,27,5,5,0,0,5807,534,0,8.7,2021
Rodney Smith,CAR,25,0,5,0,0,5188,506,0,9.8,2021
Kalen Ballage,PIT,26,12,7,0,0,5600,652,0,6.4,2021
Jakob Johnson,NE,27,0,5,0,0,6249,524,0,8.3,2021
Reggie Gilliam,BUF,24,3,5,0,0,6659,622,0,5.6,2021
Kylin Hill,GB,23,10,2,0,0,6426,570,0,3.9,2021
Gabe Nabers,LAC,24,3,3,0,0,6829,658,0,5.5,2021
La'Mical Perine,NYJ,23,8,0,0,0,5270,580,0,3.1,2021
Dwayne Washington,NO,27,4,2,0,0,5150,446,0,4.8,2021
Nick Bawden,NYJ,25,0,1,0,0,5270,580,0,3.0,2021
Reggie Bonnafon,CAR,25,1,2,0,0,5188,506,0,3.6,2021
Darrynton Evans,TEN,23,2,2,0,0,6057,504,0,3.8,2021
Patrick Laird,MIA,26,1,3,0,0,5384,595,0,5.1,2021
Raheem Mostert,SF,29,2,0,0,0,6604,496,0,2.0,2021
Scottie Phillips,HOU,24,6,3,0,0,4529,475,0,4.2,2021
Adam Prentice,NO,24,3,3,0,0,5150,446,0,5.1,2021
Trey Ragas,LV,25,1,2,0,0,6415,579,0,3.5,2021
Jaylen Samuels,HOU,25,5,4,0,0,4529,475,0,5.3,2021
Derek Watt,PIT,29,1,3,0,0,5600,652,0,4.6,2021
Cam Akers,LAR,22,5,3,0,0,6569,539,0,4.3,2021
Gary Brightwell,NYG,22,1,1,0,0,5151,562,0,2.0,2021
Damarea Crockett,DEN,24,3,0,0,0,5881,514,0,0.7,2021
Jake Funk,LAR,23,2,0,0,0,6569,539,0,0.5,2021
Buddy Howell,LAR,25,5,0,0,0,6569,539,0,1.1,2021
John Kelly,CLE,25,2,0,0,0,6076,465,0,1.3,2021
Anthony McFarland Jr.,PIT,22,3,1,0,0,5600,652,0,2.4,2021
Ryan Nall,CHI,26,1,1,0,0,5620,509,0,1.8,2021
Jacques Patrick,SF,24,2,0,0,0,6604,496,0,1.2,2021
Mekhi Sargent,3TM,24,5,1,0,0,11,18,0,1.1,2021
Kenjon Barner,TB,32,4,0,0,0,7037,712,0,0.0,2021
Nick Bellore,SEA,32,0,1,0,0,5873,473,0,1.4,2021
Nathan Cottrell,JAX,25,1,0,0,0,5423,530,0,0.3,2021
Nate McCrary,BAL,22,1,0,0,0,6344,588,0,-0.1,2021
Devine Ozigbo,2TM,25,1,1,0,0,2203,508,0,1.4,2021
Khari Blasingame,TEN,25,3,2,0,0,6057,504,0,1.0,2021
Trenton Cannon,2TM,27,3,0,0,0,2203,508,0,-1.6,2021
Josh Jacobs,LV,24,340,64,12,0,6244,558,127,328.3,2022
Christian McCaffrey,2TM,26,244,108,8,5,6488,741,123,356.4,2022
Derrick Henry,TEN,28,349,41,13,0,5333,428,122,302.8,2022
Austin Ekeler,LAC,27,204,127,13,5,6315,687,118,372.7,2022
Nick Chubb,CLE,27,302,37,12,1,6200,495,107,281.4,2022
Saquon Barkley,NYG,25,295,76,10,0,5930,419,82,284.0,2022
Jamaal Williams,DET,27,262,16,17,0,6562,519,69,225.9,2022
Tony Pollard,DAL,25,193,55,9,3,6209,545,65,248.8,2022
Dalvin Cook,MIN,27,264,56,8,2,6466,555,55,237.8,2022
Miles Sanders,PHI,25,259,26,11,0,6873,505,53,216.7,2022
Aaron Jones,GB,28,213,72,2,5,6003,509,46,248.6,2022
Najee Harris,PIT,24,272,53,7,3,5674,498,40,223.5,2022
Rhamondre Stevenson,NE,24,210,88,5,1,5627,514,37,249.1,2022
Joe Mixon,CIN,26,210,75,7,2,6048,594,37,239.5,2022
Kenneth Walker III,SEA,22,228,35,9,0,6326,547,33,202.5,2022
Travis Etienne,JAX,23,220,45,5,0,5924,563,28,205.1,2022
Ezekiel Elliott,DAL,27,231,23,12,0,6209,545,27,185.8,2022
Alvin Kamara,NO,27,223,77,2,2,5873,487,14,211.7,2022
James Conner,ARI,27,183,58,7,1,5536,579,13,200.2,2022
Leonard Fournette,TB,27,189,83,3,3,6052,717,12,226.1,2022
David Montgomery,CHI,25,201,40,5,1,5609,326,3,177.7,2022
Tyler Allgeier,ATL,22,210,17,3,1,5645,400,3,159.4,2022
D'Andre Swift,DET,23,99,70,5,3,6562,519,3,191.1,2022
Jerick McKinnon,KC,30,72,71,1,9,7161,597,0,196.3,2022
AJ Dillon,GB,24,186,43,7,0,6003,509,0,167.6,2022
Devin Singletary,BUF,25,177,52,5,1,6435,526,0,177.9,2022
Raheem Mostert,MIA,30,181,42,3,2,5939,521,0,168.3,2022
Jeff Wilson,2TM,27,176,37,5,1,6488,741,0,158.5,2022
Dameon Pierce,HOU,22,220,39,4,1,5107,528,0,166.4,2022
Cordarrelle Patterson,ATL,31,144,31,8,0,5645,400,0,154.7,2022
Cam Akers,LAR,23,188,18,7,0,4262,516,0,141.3,2022
Latavius Murray,2TM,32,171,35,6,0,6488,741,0,154.2,2022
D'Onta Foreman,CAR,26,203,9,5,0,3696,357,0,131.0,2022
Isiah Pacheco,KC,23,170,14,5,0,7161,597,0,135.0,2022
Antonio Gibson,WAS,24,149,58,3,2,5926,531,0,165.9,2022
Jonathan Taylor,IND,23,192,40,4,0,5319,546,0,146.4,2022
Khalil Herbert,CHI,24,129,12,4,1,5609,326,0,117.8,2022
Samaje Perine,CIN,27,95,51,2,4,6048,594,0,142.1,2022
Brian Robinson Jr.,WAS,23,205,12,2,1,5926,531,0,112.7,2022
Breece Hall,NYJ,21,80,31,4,1,5622,584,0,115.1,2022
Kareem Hunt,CLE,27,123,44,3,1,6200,495,0,126.8,2022
Rachaad White,TB,23,129,58,1,2,6052,717,0,139.1,2022
Kenyan Drake,BAL,28,109,26,4,1,5921,460,0,104.1,2022
Michael Carter,NYJ,23,114,54,3,0,5622,584,0,126.0,2022
James Cook,BUF,23,89,32,2,1,6435,526,0,105.7,2022
Clyde Edwards-Helaire,KC,23,71,23,3,3,7161,597,0,98.3,2022
James Robinson,2TM,24,110,14,3,2,6488,741,0,88.6,2022
J.K. Dobbins,BAL,24,92,8,2,1,5921,460,0,81.2,2022
Damien Harris,NE,25,106,23,3,0,5627,514,0,90.9,2022
Chuba Hubbard,CAR,23,95,17,2,0,3696,357,0,87.7,2022
Alexander Mattison,MIN,24,74,18,5,1,6466,555,0,88.4,2022
Eno Benjamin,3TM,23,77,34,2,0,313,34,0,89.6,2022
Kenneth Gainwell,PHI,23,53,29,4,0,6873,505,0,87.9,2022
Jaylen Warren,PIT,24,77,33,1,0,5674,498,0,93.3,2022
Melvin Gordon,DEN,29,90,32,2,0,5030,484,0,87.1,2022
Gus Edwards,BAL,27,87,2,3,0,5921,460,0,59.3,2022
Chase Edmonds,2TM,26,68,24,2,1,6488,741,0,74.2,2022
Darrell Henderson,LAR,25,70,22,3,0,4262,516,0,73.5,2022
Dontrell Hilliard,TEN,27,22,26,0,4,5333,428,0,77.2,2022
Deon Jackson,IND,23,68,34,1,1,5319,546,0,84.5,2022
Zack Moss,2TM,25,93,13,1,0,6488,741,0,64.5,2022
Nyheim Hines,2TM,26,24,37,1,1,6488,741,0,81.4,2022
Joshua Kelley,LAC,25,69,25,2,0,6315,687,0,64.8,2022
Jamycal Hasty,JAX,26,46,26,2,1,5924,563,0,70.0,2022
Rashaad Penny,SEA,26,57,5,2,0,6326,547,0,52.2,2022
Zonovan Knight,NYJ,21,85,14,1,0,5622,584,0,59.0,2022
Caleb Huntley,ATL,24,76,2,1,0,5645,400,0,44.9,2022
Elijah Mitchell,SF,24,45,4,2,0,5161,426,0,43.6,2022
Boston Scott,PHI,27,54,6,3,0,6873,505,0,46.2,2022
Matt Breida,NYG,27,54,25,1,0,5930,419,0,59.8,2022
Rex Burkhead,HOU,32,26,51,0,1,5107,528,0,77.4,2022
Justin Jackson,DET,26,42,19,1,1,6562,519,0,51.1,2022
Kyle Juszczyk,SF,31,7,23,1,1,5161,426,0,53.6,2022
Mark Ingram,NO,33,62,18,1,0,5873,487,0,50.1,2022
Raheem Blackshear,CAR,23,23,12,3,0,3696,357,0,43.0,2022
Jordan Mason,SF,23,43,0,1,0,5161,426,0,31.8,2022
Ty Johnson,NYJ,25,30,24,1,0,5622,584,0,42.8,2022
Justice Hill,BAL,25,49,12,0,0,5921,460,0,42.0,2022
Marlon Mack,2TM,26,16,10,1,1,6488,741,0,38.3,2022
Ameer Abdullah,LV,29,4,32,0,1,6244,558,0,54.1,2022
DeeJay Dallas,SEA,24,35,19,0,0,6326,547,0,46.2,2022
J.D. McKissic,WAS,29,22,40,0,0,5926,531,0,55.8,2022
Dare Ogunbowale,HOU,28,42,26,1,0,5107,528,0,48.7,2022
Malik Davis,DAL,24,38,7,1,0,6209,545,0,34.4,2022
Travis Homer,SEA,24,19,18,0,1,6326,547,0,43.1,2022
Javonte Williams,DEN,22,47,22,0,0,5030,484,0,42.0,2022
Gary Brightwell,NYG,23,31,8,1,0,5930,419,0,29.0,2022
Alec Ingold,MIA,26,6,23,1,1,5939,521,0,38.3,2022
Craig Reynolds,DET,26,23,10,0,0,6562,519,0,30.8,2022
Kyren Williams,LAR,22,35,12,0,0,4262,516,0,30.5,2022
C.J. Ham,MIN,29,4,12,2,0,6466,555,0,31.3,2022
Avery Williams,ATL,24,22,14,1,0,5645,400,0,34.0,2022
Mike Boone,DEN,27,24,15,0,0,5030,484,0,28.8,2022
Pierre Strong,NE,24,10,7,1,0,5627,514,0,27.2,2022
Tevin Coleman,SF,29,12,3,1,1,5161,426,0,22.0,2022
Jonathan Williams,WAS,28,37,10,0,0,5926,531,0,26.2,2022
Brandon Bolden,LV,32,17,9,0,1,6244,558,0,27.3,2022
Malcolm Brown,LAR,29,18,6,1,0,4262,516,0,22.8,2022
Corey Clement,ARI,28,15,7,1,0,5536,579,0,21.9,2022
Benny Snell Jr.,PIT,24,20,2,1,0,5674,498,0,18.7,2022
Darrel Williams,ARI,27,21,8,1,0,5536,579,0,21.1,2022
Sony Michel,LAC,27,36,13,0,0,6315,687,0,24.9,2022
Hassan Haskins,TEN,23,25,12,0,0,5333,428,0,26.0,2022
Ronald Jones II,KC,25,17,1,1,0,7161,597,0,16.2,2022
Derek Watt,PIT,30,9,5,1,1,5674,498,0,20.2,2022
Zander Horvath,LAC,24,4,8,0,2,6315,687,0,18.6,2022
Keaontay Ingram,ARI,23,27,5,1,0,5536,579,0,18.1,2022
Salvon Ahmed,MIA,24,12,1,1,0,5939,521,0,14.2,2022
Royce Freeman,HOU,26,41,8,0,0,5107,528,0,19.0,2022
Reggie Gilliam,BUF,25,0,10,0,1,6435,526,0,20.9,2022
Chris Myarick,NYG,27,0,8,0,1,5930,419,0,19.5,2022
Kevin Harris,NE,22,18,0,1,0,5627,514,0,11.2,2022
Snoop Conner,JAX,22,12,0,1,0,5924,563,0,10.2,2022
Tyrion Davis-Price,SF,22,34,2,0,0,5161,426,0,9.9,2022
Chris Evans,CIN,25,0,4,0,1,6048,594,0,12.8,2022
Darrynton Evans,CHI,24,14,1,0,0,5609,326,0,10.7,2022
Kene Nwangwu,MIN,24,9,2,0,0,6466,555,0,11.5,2022
Giovanni Ricci,CAR,26,0,9,0,0,3696,357,0,18.0,2022
Phillip Lindsay,IND,28,15,8,0,0,5319,546,0,14.8,2022
Patrick Ricard,BAL,28,7,13,0,0,5921,460,0,20.0,2022
Jordan Wilkins,IND,28,13,8,0,0,5319,546,0,14.7,2022
Tyler Badie,DEN,22,1,1,0,1,5030,484,0,9.4,2022
Jaret Patterson,WAS,23,17,1,0,0,5926,531,0,7.8,2022
Ke'Shawn Vaughn,TB,25,17,4,0,0,6052,717,0,10.2,2022
Zamir White,LV,23,17,0,0,0,6244,558,0,7.0,2022
Trayveon Williams,CIN,25,6,3,0,0,6048,594,0,8.0,2022
Spencer Brown,CAR,24,9,4,0,0,3696,357,0,7.3,2022
Julius Chestnut,TEN,22,9,3,0,0,5333,428,0,8.3,2022
Myles Gaskin,MIA,25,10,6,0,0,5939,521,0,9.4,2022
David Johnson,NO,31,12,4,0,0,5873,487,0,9.1,2022
Tony Jones,2TM,25,10,8,0,0,6488,741,0,10.4,2022
Ronnie Rivers,LAR,23,9,5,0,0,4262,516,0,10.0,2022
Isaiah Spiller,LAC,21,18,3,0,0,6315,687,0,8.4,2022
Patrick Taylor,GB,24,10,1,0,0,6003,509,0,5.8,2022
Dwayne Washington,NO,28,11,1,0,0,5873,487,0,5.5,2022
Trestan Ebner,CHI,23,24,8,0,0,5609,326,0,6.2,2022
Anthony McFarland Jr.,PIT,23,6,2,0,0,5674,498,0,6.1,2022
Giovani Bernard,TB,31,8,2,0,0,6052,717,0,4.7,2022
Larry Rountree,LAC,23,13,2,0,0,6315,687,0,5.3,2022
Jonathan Ward,2TM,25,5,3,0,0,6488,741,0,5.2,2022
Michael Burton,KC,30,5,3,0,0,7161,597,0,3.8,2022
Ty Chandler,MIN,24,6,0,0,0,6466,555,0,2.0,2022
Mike Davis,BAL,29,8,2,0,0,5921,460,0,4.2,2022
Troy Hairston,HOU,24,0,8,0,0,5107,528,0,6.9,2022
D'Ernest Johnson,CLE,26,4,3,0,0,6200,495,0,5.4,2022
Adam Prentice,NO,25,4,3,0,0,5873,487,0,4.8,2022
Trey Sermon,PHI,23,2,0,0,0,6873,505,0,1.9,2022
J.J. Taylor,NE,24,10,1,0,0,5627,514,0,2.7,2022
Reggie Bonnafon,WAS,26,3,0,0,0,5926,531,0,0.8,2022
Jason Cabinda,DET,26,1,4,0,0,6562,519,0,1.9,2022
Jerome Ford,CLE,23,8,0,0,0,6200,495,0,1.2,2022
Kylin Hill,GB,24,1,0,0,0,6003,509,0,0.7,2022
Godwin Igwebuike,SEA,28,3,1,0,0,6326,547,0,1.7,2022
Jakob Johnson,LV,28,0,6,0,0,6244,558,0,6.0,2022
Devine Ozigbo,DEN,26,3,1,0,0,5030,484,0,1.7,2022
Keith Smith,ATL,30,1,2,0,0,5645,400,0,2.0,2022
Ty'Son Williams,ARI,26,0,1,0,0,5536,579,0,1.5,2022
Nick Bellore,SEA,33,1,0,0,0,6326,547,0,0.3,2022
Demetric Felton,CLE,24,1,4,0,0,6200,495,0,2.4,2022
Jordan Howard,NO,28,1,0,0,0,5873,487,0,0.1,2022
Duke Johnson,BUF,29,2,0,0,0,6435,526,0,0.4,2022
Damien Williams,ATL,30,2,0,0,0,5645,400,0,0.2,2022
